Name of Earth Meteorite,id,Meteorite,nametype,recclass,mass,year,reclat,reclong
Haverö,11859,Valid,Ureilite,600,,reclat,reclong
Hedeskoga,11869,Valid,H5,600,,reclat,reclong
Hedjaz,11870,Valid,L3.7-6,600,,reclat,reclong
Heredia,11875,Valid,H5,600,,reclat,reclong
Hessle,11878,Valid,H5,600,,reclat,reclong
Higashi-koen,11883,Valid,H5,600,,reclat,reclong
High Possil,11884,Valid,L6,600,,reclat,reclong
Hiroshima,11889,Valid,H5,600,,reclat,reclong
Hoima,44714,Valid,H6,600,,reclat,reclong
Hökmark,11893,Valid,L4,600,,reclat,reclong
Holbrook,11894,Valid,L/LL6,600,,reclat,reclong
Holetta,11895,Valid,Stone-uncl,600,,reclat,reclong
Homestead,11901,Valid,L5,600,,reclat,reclong
Honolulu,11904,Valid,L5,600,,reclat,reclong
Hotse,11913,Valid,L6,600,,reclat,reclong
Hoxie,11915,Valid,OC,600,,reclat,reclong
Hraschina,11916,Valid,"Iron, IID",600,,reclat,reclong
Huaxi,54719,Valid,H5,600,,reclat,reclong
Hungen,11986,Valid,H6,600,,reclat,reclong
Hvittis,11989,Valid,EL6,600,,reclat,reclong
Ibbenbüren,11992,Valid,Diogenite,600,,reclat,reclong
Ibitira,11993,Valid,Eucrite-mmict,600,,reclat,reclong
Ibrisim,11994,Valid,OC,600,,reclat,reclong
Ichkala,11995,Valid,H6,600,,reclat,reclong
Idutywa,12000,Valid,H5,600,,reclat,reclong
Iguaracu,12003,Valid,H5,600,,reclat,reclong
Ijopega,12004,Valid,H6,600,,reclat,reclong
Indarch,12027,Valid,EH4,600,,reclat,reclong
Independence,12028,Valid,L6,600,,reclat,reclong
Inner Mongolia,12037,Valid,L6,600,,reclat,reclong
Innisfree,12039,Valid,L5,600,,reclat,reclong
Ipiranga,12043,Valid,H6,600,,reclat,reclong
Ishinga,12049,Valid,H,600,,reclat,reclong
Isthilart,12053,Valid,H5,600,,reclat,reclong
Itapicuru-Mirim,12056,Valid,H5,600,,reclat,reclong
Itqiy,12058,Valid,EH7-an,600,,reclat,reclong
Ivuna,12063,Valid,CI1,600,,reclat,reclong
Jackalsfontein,12065,Valid,L6,600,,reclat,reclong
Jajh deh Kot Lalu,12067,Valid,EL6,600,,reclat,reclong
Jalanash,12068,Valid,Ureilite,600,,reclat,reclong
Jalandhar,12069,Valid,Iron,600,,reclat,reclong
Jamkheir,12072,Valid,H6,600,,reclat,reclong
Jartai,12074,Valid,L6,600,,reclat,reclong
Jelica,12078,Valid,LL6,600,,reclat,reclong
Jemlapur,12079,Valid,L6,600,,reclat,reclong
Jesenice,51589,Valid,L6,600,,reclat,reclong
Jhung,12085,Valid,L5,600,,reclat,reclong
Jiange,12086,Valid,H5,600,,reclat,reclong
Jianshi,12087,Valid,"Iron, IIIAB",600,,reclat,reclong
Jilin,12171,Valid,H5,600,,reclat,reclong
Jodiya,47362,Valid,L5,600,,reclat,reclong
Jodzie,12173,Valid,Howardite,600,,reclat,reclong
Johnstown,12198,Valid,Diogenite,600,,reclat,reclong
Jolomba,12199,Valid,LL6,600,,reclat,reclong
Jonzac,12202,Valid,Eucrite-mmict,600,,reclat,reclong
Juancheng,12203,Valid,H5,600,,reclat,reclong
Judesegeri,12207,Valid,H6,600,,reclat,reclong
Jumapalo,12209,Valid,L6,600,,reclat,reclong
Junan,12210,Valid,L6,600,,reclat,reclong
Juromenha,12213,Valid,"Iron, IIIAB",600,,reclat,reclong
Juvinas,12214,Valid,Eucrite-mmict,600,,reclat,reclong
Kaba,12218,Valid,CV3,600,,reclat,reclong
Kabo,12220,Valid,H4,600,,reclat,reclong
Kadonah,12221,Valid,H6,600,,reclat,reclong
Kaee,12222,Valid,H5,600,,reclat,reclong
Kagarlyk,12227,Valid,L6,600,,reclat,reclong
Kaidun,12228,Valid,CR2,600,,reclat,reclong
Kainsaz,12229,Valid,CO3.2,600,,reclat,reclong
Kakangari,12230,Valid,K3,600,,reclat,reclong
Kakowa,12231,Valid,L6,600,,reclat,reclong
Kalaba,12232,Valid,H4,600,,reclat,reclong
Kalumbi,12236,Valid,L6,600,,reclat,reclong
Kamalpur,12238,Valid,L6,600,,reclat,reclong
Kamiomi,12240,Valid,H5,600,,reclat,reclong
Kamsagar,12241,Valid,L6,600,,reclat,reclong
Kandahar (Afghanistan),12243,Valid,L6,600,,reclat,reclong
Kangean,12245,Valid,H5,600,,reclat,reclong
Kangra Valley,12246,Valid,H5,600,,reclat,reclong
Kapoeta,12251,Valid,Howardite,600,,reclat,reclong
Kaprada,47357,Valid,L5/6,600,,reclat,reclong
Kaptal-Aryk,12253,Valid,L6,600,,reclat,reclong
Karakol,12256,Valid,LL6,600,,reclat,reclong
Karatu,12258,Valid,LL6,600,,reclat,reclong
Karewar,12260,Valid,L6,600,,reclat,reclong
Karkh,12262,Valid,L6,600,,reclat,reclong
Karloowala,12263,Valid,L6,600,,reclat,reclong
Karoonda,12264,Valid,CK4,600,,reclat,reclong
Kasamatsu,12266,Valid,H,600,,reclat,reclong
Kasauli,30740,Valid,H4,600,,reclat,reclong
Katagum,35465,Valid,L6,600,,reclat,reclong
Kavarpura,47351,Valid,"Iron, IIE-an",600,,reclat,reclong
Kayakent,12268,Valid,"Iron, IIIAB",600,,reclat,reclong
Kediri,12270,Valid,L4,600,,reclat,reclong
Kemer,53654,Valid,L4,600,,reclat,reclong
Kendleton,12275,Valid,L4,600,,reclat,reclong
Kendrapara,12276,Valid,H4-5,600,,reclat,reclong
Kerilis,12282,Valid,H5,600,,reclat,reclong
Kernouve,12284,Valid,H6,600,,reclat,reclong
Kesen,12286,Valid,H4,600,,reclat,reclong
Khairpur,12288,Valid,EL6,600,,reclat,reclong
Khanpur,12289,Valid,LL5,600,,reclat,reclong
Kharkov,12291,Valid,L6,600,,reclat,reclong
Kheragur,12294,Valid,L6,600,,reclat,reclong
Khetri,12296,Valid,H6,600,,reclat,reclong
Khmelevka,12297,Valid,L5,600,,reclat,reclong
Khohar,12298,Valid,L3.6,600,,reclat,reclong
Khor Temiki,12299,Valid,Aubrite,600,,reclat,reclong
Kidairat,12300,Valid,H6,600,,reclat,reclong
Kiel,12301,Valid,L6,600,,reclat,reclong
Kiffa,12303,Valid,H5,600,,reclat,reclong
Kijima (1906),12305,Valid,Stone-uncl,600,,reclat,reclong
Kikino,12306,Valid,H6,600,,reclat,reclong
Kilabo,12307,Valid,LL6,600,,reclat,reclong
